learnerID,sitesVisited,step,pr(rr),pr(fr),pr(sr),randomNumber
1,4,0,0.238,0.877,0.163,0.746338
1,4,1,0.238,0.877,0.163,0.509338
1,4,2,0.238,0.877,0.163,0.592926
1,4,3,0.238,0.877,0.163,0.482361
2,8,0,0.201,0.881,0.16,0.252472
2,8,1,0.201,0.881,0.16,0.848755
2,8,2,0.201,0.881,0.16,0.257629
2,8,3,0.201,0.881,0.16,0.440613
2,8,4,0.201,0.881,0.16,0.039124
2,8,4,0.201,0.881,0.16,0.991089
2,8,5,0.201,0.881,0.16,0.331146
2,8,6,0.201,0.881,0.16,0.651581
2,8,7,0.201,0.881,0.16,0.62561
3,10,0,0.215,0.875,0.15,0.629059
3,10,1,0.215,0.875,0.15,0.056427
3,10,1,0.215,0.875,0.15,0.490448
3,10,1,0.215,0.875,0.15,0.340851
3,10,2,0.215,0.875,0.15,0.828522
3,10,3,0.215,0.875,0.15,0.45575
3,10,4,0.215,0.875,0.15,0.612061
3,10,5,0.215,0.875,0.15,0.884491
3,10,6,0.215,0.875,0.15,0.719482
3,10,7,0.215,0.875,0.15,0.743439
3,10,8,0.215,0.875,0.15,0.326202
3,10,9,0.215,0.875,0.15,0.70163
4,13,0,0.229,0.865,0.154,0.98822
4,13,1,0.229,0.865,0.154,0.878998
4,13,2,0.229,0.865,0.154,0.283661
4,13,3,0.229,0.865,0.154,0.957886
4,13,4,0.229,0.865,0.154,0.951172
4,13,5,0.229,0.865,0.154,0.530304
4,13,6,0.229,0.865,0.154,0.151306
4,13,6,0.229,0.865,0.154,0.185455
4,13,6,0.229,0.865,0.154,0.824402
4,13,7,0.229,0.865,0.154,0.548584
4,13,8,0.229,0.865,0.154,0.837463
4,13,9,0.229,0.865,0.154,0.562195
4,13,10,0.229,0.865,0.154,0.796661
4,13,11,0.229,0.865,0.154,0.541718
4,13,12,0.229,0.865,0.154,0.598846
5,9,0,0.22,0.871,0.172,0.50647
5,9,1,0.22,0.871,0.172,0.549377
5,9,2,0.22,0.871,0.172,0.033051
5,9,2,0.22,0.871,0.172,0.135437
5,9,2,0.22,0.871,0.172,0.290314
5,9,3,0.22,0.871,0.172,0.603668
5,9,4,0.22,0.871,0.172,0.654938
5,9,5,0.22,0.871,0.172,0.437164
5,9,6,0.22,0.871,0.172,0.706207
5,9,7,0.22,0.871,0.172,0.322876
5,9,8,0.22,0.871,0.172,0.437531
6,19,0,0.22,0.863,0.181,0.114746
6,19,0,0.22,0.863,0.181,0.510559
6,19,0,0.22,0.863,0.181,0.431396
6,19,1,0.22,0.863,0.181,0.779419
6,19,2,0.22,0.863,0.181,0.611786
6,19,3,0.22,0.863,0.181,0.942383
6,19,4,0.22,0.863,0.181,0.104523
6,19,4,0.22,0.863,0.181,0.060608
6,19,4,0.22,0.863,0.181,0.214539
6,19,5,0.22,0.863,0.181,0.088043
6,19,5,0.22,0.863,0.181,0.927124
6,19,6,0.22,0.863,0.181,0.367004
6,19,7,0.22,0.863,0.181,0.147003
6,19,7,0.22,0.863,0.181,0.39624
6,19,7,0.22,0.863,0.181,0.551666
6,19,8,0.22,0.863,0.181,0.066681
6,19,8,0.22,0.863,0.181,0.14743
6,19,8,0.22,0.863,0.181,0.842316
6,19,9,0.22,0.863,0.181,0.178406
6,19,9,0.22,0.863,0.181,0.498627
6,19,9,0.22,0.863,0.181,0.963959
6,19,10,0.22,0.863,0.181,0.375732
6,19,11,0.22,0.863,0.181,0.705444
6,19,12,0.22,0.863,0.181,0.615631
6,19,13,0.22,0.863,0.181,0.118927
6,19,13,0.22,0.863,0.181,0.889557
6,19,14,0.22,0.863,0.181,0.922699
6,19,15,0.22,0.863,0.181,0.161652
6,19,15,0.22,0.863,0.181,0.800507
6,19,15,0.22,0.863,0.181,0.584656
6,19,16,0.22,0.863,0.181,0.461395
6,19,17,0.22,0.863,0.181,0.273956
6,19,18,0.22,0.863,0.181,0.042206
6,19,18,0.22,0.863,0.181,0.221222
6,19,18,0.22,0.863,0.181,0.983246
7,8,0,0.209,0.866,0.153,0.633331
7,8,1,0.209,0.866,0.153,0.923523
7,8,2,0.209,0.866,0.153,0.431854
7,8,3,0.209,0.866,0.153,0.213684
7,8,4,0.209,0.866,0.153,0.548645
7,8,5,0.209,0.866,0.153,0.786987
7,8,6,0.209,0.866,0.153,0.87796
7,8,7,0.209,0.866,0.153,0.294708
8,10,0,0.223,0.887,0.165,0.197815
8,10,0,0.223,0.887,0.165,0.91571
8,10,1,0.223,0.887,0.165,0.469513
8,10,2,0.223,0.887,0.165,0.382904
8,10,3,0.223,0.887,0.165,0.266083
8,10,4,0.223,0.887,0.165,0.462555
8,10,5,0.223,0.887,0.165,0.869598
8,10,6,0.223,0.887,0.165,0.59433
8,10,7,0.223,0.887,0.165,0.582001
8,10,8,0.223,0.887,0.165,0.550385
8,10,9,0.223,0.887,0.165,0.650879
9,13,0,0.199,0.871,0.156,0.357483
9,13,1,0.199,0.871,0.156,0.163361
9,13,1,0.199,0.871,0.156,0.336792
9,13,1,0.199,0.871,0.156,0.499969
9,13,2,0.199,0.871,0.156,0.562958
9,13,3,0.199,0.871,0.156,0.267487
9,13,4,0.199,0.871,0.156,0.987274
9,13,5,0.199,0.871,0.156,0.371155
9,13,6,0.199,0.871,0.156,0.681915
9,13,7,0.199,0.871,0.156,0.540009
9,13,8,0.199,0.871,0.156,0.050323
9,13,8,0.199,0.871,0.156,0.090057
9,13,8,0.199,0.871,0.156,0.825043
9,13,9,0.199,0.871,0.156,0.643463
9,13,10,0.199,0.871,0.156,0.824799
9,13,11,0.199,0.871,0.156,0.598236
9,13,12,0.199,0.871,0.156,0.942657
10,7,0,0.2,0.876,0.158,0.256683
10,7,1,0.2,0.876,0.158,0.510315
10,7,2,0.2,0.876,0.158,0.357483
10,7,3,0.2,0.876,0.158,0.751343
10,7,4,0.2,0.876,0.158,0.957642
10,7,5,0.2,0.876,0.158,0.322357
10,7,6,0.2,0.876,0.158,0.838715
11,2,0,0.194,0.867,0.189,0.521515
11,2,1,0.194,0.867,0.189,0.987915
12,19,0,0.221,0.877,0.142,0.714996
12,19,1,0.221,0.877,0.142,0.815613
12,19,2,0.221,0.877,0.142,0.46347
12,19,3,0.221,0.877,0.142,0.79007
12,19,4,0.221,0.877,0.142,0.575073
12,19,5,0.221,0.877,0.142,0.11322
12,19,5,0.221,0.877,0.142,0.740021
12,19,5,0.221,0.877,0.142,0.515656
12,19,6,0.221,0.877,0.142,0.50415
12,19,7,0.221,0.877,0.142,0.197144
12,19,7,0.221,0.877,0.142,0.918579
12,19,8,0.221,0.877,0.142,0.768555
12,19,9,0.221,0.877,0.142,0.125702
12,19,9,0.221,0.877,0.142,0.53183
12,19,9,0.221,0.877,0.142,0.131531
12,19,9,0.221,0.877,0.142,0.245331
12,19,10,0.221,0.877,0.142,0.47937
12,19,11,0.221,0.877,0.142,0.452545
12,19,12,0.221,0.877,0.142,0.88327
12,19,13,0.221,0.877,0.142,0.436676
12,19,14,0.221,0.877,0.142,0.811981
12,19,15,0.221,0.877,0.142,0.977905
12,19,16,0.221,0.877,0.142,0.711792
12,19,17,0.221,0.877,0.142,0.533234
12,19,18,0.221,0.877,0.142,0.832977
13,8,0,0.232,0.87,0.181,0.161682
13,8,0,0.232,0.87,0.181,0.863098
13,8,0,0.232,0.87,0.181,0.359528
13,8,1,0.232,0.87,0.181,0.890289
13,8,2,0.232,0.87,0.181,0.795502
13,8,3,0.232,0.87,0.181,0.325378
13,8,4,0.232,0.87,0.181,0.81604
13,8,5,0.232,0.87,0.181,0.092499
13,8,5,0.232,0.87,0.181,0.564941
13,8,5,0.232,0.87,0.181,0.708862
13,8,6,0.232,0.87,0.181,0.155853
13,8,6,0.232,0.87,0.181,0.103607
13,8,6,0.232,0.87,0.181,0.922852
13,8,7,0.232,0.87,0.181,0.227112
13,8,7,0.232,0.87,0.181,0.877625
14,7,0,0.219,0.871,0.161,0.86734
14,7,1,0.219,0.871,0.161,0.589355
14,7,2,0.219,0.871,0.161,0.534912
14,7,3,0.219,0.871,0.161,0.644226
14,7,4,0.219,0.871,0.161,0.818695
14,7,5,0.219,0.871,0.161,0.973083
14,7,6,0.219,0.871,0.161,0.735992
15,15,0,0.218,0.879,0.17,0.923096
15,15,1,0.218,0.879,0.17,0.867401
15,15,2,0.218,0.879,0.17,0.540344
15,15,3,0.218,0.879,0.17,0.808472
15,15,4,0.218,0.879,0.17,0.414917
15,15,5,0.218,0.879,0.17,0.697052
15,15,6,0.218,0.879,0.17,0.632202
15,15,7,0.218,0.879,0.17,0.523132
15,15,8,0.218,0.879,0.17,0.007324
15,15,8,0.218,0.879,0.17,0.095825
15,15,8,0.218,0.879,0.17,0.01944
15,15,9,0.218,0.879,0.17,0.417725
15,15,10,0.218,0.879,0.17,0.921661
15,15,11,0.218,0.879,0.17,0.900116
15,15,12,0.218,0.879,0.17,0.261871
15,15,13,0.218,0.879,0.17,0.120483
15,15,13,0.218,0.879,0.17,0.193359
15,15,13,0.218,0.879,0.17,0.920654
15,15,14,0.218,0.879,0.17,0.936279
16,8,0,0.201,0.854,0.167,0.744263
16,8,1,0.201,0.854,0.167,0.759094
16,8,2,0.201,0.854,0.167,0.439819
16,8,3,0.201,0.854,0.167,0.730621
16,8,4,0.201,0.854,0.167,0.271729
16,8,5,0.201,0.854,0.167,0.72818
16,8,6,0.201,0.854,0.167,0.143768
16,8,6,0.201,0.854,0.167,0.595154
16,8,6,0.201,0.854,0.167,0.373169
16,8,7,0.201,0.854,0.167,0.734283
17,16,0,0.22,0.885,0.159,0.205414
