learnerID,sitesVisited,step,pr(rr),pr(fr),pr(sr),rr,fr,sr,rating,ratingCode
1,4,0,0.238,0.877,0.163,0.586608887,N/A,N/A,N/A,No Recommendation Request
1,4,1,0.238,0.877,0.163,0.789093018,N/A,N/A,N/A,No Recommendation Request
1,4,2,0.238,0.877,0.163,0.761474609,N/A,N/A,N/A,No Recommendation Request
1,4,3,0.238,0.877,0.163,0.912078857,N/A,N/A,N/A,No Recommendation Request
2,8,0,0.201,0.881,0.16,0.488708496,N/A,N/A,N/A,No Recommendation Request
2,8,1,0.201,0.881,0.16,0.437713623,N/A,N/A,N/A,No Recommendation Request
2,8,2,0.201,0.881,0.16,0.242980957,N/A,N/A,N/A,No Recommendation Request
2,8,3,0.201,0.881,0.16,0.178985596,0.934997559,N/A,N/A,No Recommendation Follow
2,8,4,0.201,0.881,0.16,0.201751709,N/A,N/A,N/A,No Recommendation Request
2,8,5,0.201,0.881,0.16,0.07522583,0.819610596,0.403839111,N/A,No Rating Submission
2,8,6,0.201,0.881,0.16,0.091552734,0.468719482,0.075714111,1,
2,8,7,0.201,0.881,0.16,0.676055908,N/A,N/A,N/A,No Recommendation Request
3,10,0,0.215,0.875,0.15,0.064453125,0.884796143,N/A,N/A,No Recommendation Follow
3,10,1,0.215,0.875,0.15,0.115234375,0.615203857,0.100708008,1,
3,10,2,0.215,0.875,0.15,0.090454102,0.824188232,0.204498291,N/A,No Rating Submission
3,10,3,0.215,0.875,0.15,0.699432373,N/A,N/A,N/A,No Recommendation Request
3,10,4,0.215,0.875,0.15,0.540466309,N/A,N/A,N/A,No Recommendation Request
3,10,5,0.215,0.875,0.15,0.368865967,N/A,N/A,N/A,No Recommendation Request
3,10,6,0.215,0.875,0.15,0.600128174,N/A,N/A,N/A,No Recommendation Request
3,10,7,0.215,0.875,0.15,0.416290283,N/A,N/A,N/A,No Recommendation Request
3,10,8,0.215,0.875,0.15,0.639648438,N/A,N/A,N/A,No Recommendation Request
3,10,9,0.215,0.875,0.15,0.966308594,N/A,N/A,N/A,No Recommendation Request
4,13,0,0.229,0.865,0.154,0.331939697,N/A,N/A,N/A,No Recommendation Request
4,13,1,0.229,0.865,0.154,0.63671875,N/A,N/A,N/A,No Recommendation Request
4,13,2,0.229,0.865,0.154,0.38772583,N/A,N/A,N/A,No Recommendation Request
4,13,3,0.229,0.865,0.154,0.394805908,N/A,N/A,N/A,No Recommendation Request
4,13,4,0.229,0.865,0.154,0.881744385,N/A,N/A,N/A,No Recommendation Request
4,13,5,0.229,0.865,0.154,0.612426758,N/A,N/A,N/A,No Recommendation Request
4,13,6,0.229,0.865,0.154,0.706512451,N/A,N/A,N/A,No Recommendation Request
4,13,7,0.229,0.865,0.154,0.980438232,N/A,N/A,N/A,No Recommendation Request
4,13,8,0.229,0.865,0.154,0.04006958,0.943084717,N/A,N/A,No Recommendation Follow
4,13,9,0.229,0.865,0.154,0.645263672,N/A,N/A,N/A,No Recommendation Request
4,13,10,0.229,0.865,0.154,0.110473633,0.326446533,0.304260254,N/A,No Rating Submission
4,13,11,0.229,0.865,0.154,0.925018311,N/A,N/A,N/A,No Recommendation Request
4,13,12,0.229,0.865,0.154,0.796264648,N/A,N/A,N/A,No Recommendation Request
5,9,0,0.22,0.871,0.172,0.239624023,N/A,N/A,N/A,No Recommendation Request
5,9,1,0.22,0.871,0.172,0.010070801,0.666503906,0.489593506,N/A,No Rating Submission
5,9,2,0.22,0.871,0.172,0.1222229,0.855804443,0.660308838,N/A,No Rating Submission
5,9,3,0.22,0.871,0.172,0.802490234,N/A,N/A,N/A,No Recommendation Request
5,9,4,0.22,0.871,0.172,0.619354248,N/A,N/A,N/A,No Recommendation Request
5,9,5,0.22,0.871,0.172,0.18182373,0.297454834,0.62310791,N/A,No Rating Submission
5,9,6,0.22,0.871,0.172,0.497161865,N/A,N/A,N/A,No Recommendation Request
5,9,7,0.22,0.871,0.172,0.220275879,N/A,N/A,N/A,No Recommendation Request
5,9,8,0.22,0.871,0.172,0.853271484,N/A,N/A,N/A,No Recommendation Request
6,19,0,0.22,0.863,0.181,0.528686523,N/A,N/A,N/A,No Recommendation Request
6,19,1,0.22,0.863,0.181,0.544219971,N/A,N/A,N/A,No Recommendation Request
6,19,2,0.22,0.863,0.181,0.775360107,N/A,N/A,N/A,No Recommendation Request
6,19,3,0.22,0.863,0.181,0.907775879,N/A,N/A,N/A,No Recommendation Request
6,19,4,0.22,0.863,0.181,0.115325928,0.521728516,0.701721191,N/A,No Rating Submission
6,19,5,0.22,0.863,0.181,0.772949219,N/A,N/A,N/A,No Recommendation Request
6,19,6,0.22,0.863,0.181,0.576904297,N/A,N/A,N/A,No Recommendation Request
6,19,7,0.22,0.863,0.181,0.431549072,N/A,N/A,N/A,No Recommendation Request
6,19,8,0.22,0.863,0.181,0.05480957,0.18939209,0.16015625,1,
6,19,9,0.22,0.863,0.181,0.707061768,N/A,N/A,N/A,No Recommendation Request
6,19,10,0.22,0.863,0.181,0.801483154,N/A,N/A,N/A,No Recommendation Request
6,19,11,0.22,0.863,0.181,0.0050354,0.005615234,0.973693848,N/A,No Rating Submission
6,19,12,0.22,0.863,0.181,0.455718994,N/A,N/A,N/A,No Recommendation Request
6,19,13,0.22,0.863,0.181,0.231658936,N/A,N/A,N/A,No Recommendation Request
6,19,14,0.22,0.863,0.181,0.973693848,N/A,N/A,N/A,No Recommendation Request
6,19,15,0.22,0.863,0.181,0.397857666,N/A,N/A,N/A,No Recommendation Request
6,19,16,0.22,0.863,0.181,0.209259033,0.264343262,0.459228516,N/A,No Rating Submission
6,19,17,0.22,0.863,0.181,0.50680542,N/A,N/A,N/A,No Recommendation Request
6,19,18,0.22,0.863,0.181,0.607635498,N/A,N/A,N/A,No Recommendation Request
7,8,0,0.209,0.866,0.153,0.52947998,N/A,N/A,N/A,No Recommendation Request
7,8,1,0.209,0.866,0.153,0.088104248,0.804931641,0.938262939,N/A,No Rating Submission
