learnerID,sitesVisited,step,pr(rr),pr(fr),pr(sr),randomNumber,nodeRecommendationID
1,4,1,0.238,0.877,0.163,0.343018,0
2,8,1,0.201,0.881,0.16,0.350464,0
2,8,3,0.201,0.881,0.16,0.258087,1
2,8,4,0.201,0.881,0.16,0.491302,2
3,10,2,0.215,0.875,0.15,0.610413,0
3,10,3,0.215,0.875,0.15,0.244141,1
3,10,4,0.215,0.875,0.15,0.129059,2
4,13,7,0.229,0.865,0.154,0.026825,0
4,13,9,0.229,0.865,0.154,0.662231,1
4,13,10,0.229,0.865,0.154,0.000824,2
5,9,4,0.22,0.871,0.172,0.266449,0
6,19,0,0.22,0.863,0.181,0.237946,0
6,19,8,0.22,0.863,0.181,0.046448,4
6,19,12,0.22,0.863,0.181,0.84259,5
6,19,18,0.22,0.863,0.181,0.398071,2
8,10,7,0.223,0.887,0.165,0.267975,5
9,13,3,0.199,0.871,0.156,0.877136,5
9,13,10,0.199,0.871,0.156,0.86084,2
10,7,0,0.2,0.876,0.158,0.078339,5
11,2,0,0.194,0.867,0.189,0.942596,5
11,2,1,0.194,0.867,0.189,0.627075,2
12,19,7,0.221,0.877,0.142,0.856018,5
12,19,8,0.221,0.877,0.142,0.947235,2
12,19,9,0.221,0.877,0.142,0.7854,1
13,8,3,0.232,0.87,0.181,0.464294,5
13,8,5,0.232,0.87,0.181,0.183777,2
14,7,1,0.219,0.871,0.161,0.234131,5
14,7,4,0.219,0.871,0.161,0.363617,2
14,7,6,0.219,0.871,0.161,0.807129,1
15,15,3,0.218,0.879,0.17,0.589996,5
15,15,8,0.218,0.879,0.17,0.479889,6
15,15,9,0.218,0.879,0.17,0.044556,7
16,8,6,0.201,0.854,0.167,0.305023,5
17,16,1,0.22,0.885,0.159,0.942535,5
17,16,4,0.22,0.885,0.159,0.664337,6
17,16,7,0.22,0.885,0.159,0.508881,7
17,16,9,0.22,0.885,0.159,0.893646,3
17,16,13,0.22,0.885,0.159,0.466583,1
18,10,0,0.213,0.871,0.173,0.664093,5
18,10,6,0.213,0.871,0.173,0.550354,6
18,10,9,0.213,0.871,0.173,0.32132,7
19,5,0,0.203,0.874,0.147,0.000916,5
19,5,1,0.203,0.874,0.147,0.998596,6
19,5,3,0.203,0.874,0.147,0.379242,7
20,16,9,0.203,0.875,0.159,0.446472,5
20,16,14,0.203,0.875,0.159,0.365021,6
20,16,15,0.203,0.875,0.159,0.017242,7
21,6,1,0.224,0.868,0.161,0.640167,5
21,6,4,0.224,0.868,0.161,0.127136,6
22,11,3,0.213,0.886,0.179,0.562317,5
22,11,4,0.213,0.886,0.179,0.359741,6
22,11,5,0.213,0.886,0.179,0.853119,7
22,11,9,0.213,0.886,0.179,0.094482,1
22,11,10,0.213,0.886,0.179,0.912964,2
24,12,0,0.204,0.882,0.181,0.807068,6
24,12,5,0.204,0.882,0.181,0.075256,9
24,12,6,0.204,0.882,0.181,0.329926,4
24,12,7,0.204,0.882,0.181,0.420135,2
25,15,3,0.222,0.878,0.162,0.217804,9
25,15,5,0.222,0.878,0.162,0.808655,6
25,15,7,0.222,0.878,0.162,0.911377,3
26,20,1,0.21,0.877,0.164,0.564056,9
26,20,2,0.21,0.877,0.164,0.928741,8
26,20,6,0.21,0.877,0.164,0.8974,4
26,20,15,0.21,0.877,0.164,0.560303,0
26,20,17,0.21,0.877,0.164,0.501953,7
27,10,0,0.197,0.884,0.171,0.400299,8
27,10,1,0.197,0.884,0.171,0.684753,4
27,10,6,0.197,0.884,0.171,0.799225,0
28,20,1,0.222,0.858,0.156,0.672699,8
28,20,4,0.222,0.858,0.156,0.628632,4
28,20,8,0.222,0.858,0.156,0.374786,0
28,20,9,0.222,0.858,0.156,0.813751,7
28,20,14,0.222,0.858,0.156,0.564087,6
28,20,15,0.222,0.858,0.156,0.909729,5
28,20,18,0.222,0.858,0.156,0.524872,9
29,20,1,0.225,0.848,0.187,0.911591,8
29,20,5,0.225,0.848,0.187,0.903381,4
29,20,11,0.225,0.848,0.187,0.087708,0
29,20,17,0.225,0.848,0.187,0.758606,7
29,20,18,0.225,0.848,0.187,0.897156,6
29,20,19,0.225,0.848,0.187,0.076416,5
30,13,2,0.214,0.883,0.167,0.992828,4
30,13,8,0.214,0.883,0.167,0.869232,7
31,10,8,0.21,0.878,0.158,0.710815,4
33,22,17,0.215,0.885,0.181,0.034149,4
33,22,19,0.215,0.885,0.181,0.519073,7
35,23,7,0.211,0.883,0.171,0.077332,4
35,23,9,0.211,0.883,0.171,0.14682,7
35,23,11,0.211,0.883,0.171,0.096527,9
35,23,15,0.211,0.883,0.171,0.03595,0
35,23,21,0.211,0.883,0.171,0.759369,6
36,19,0,0.226,0.864,0.15,0.60611,9
36,19,2,0.226,0.864,0.15,0.039307,4
36,19,10,0.226,0.864,0.15,0.20578,6
36,19,11,0.226,0.864,0.15,0.706085,7
37,9,4,0.204,0.862,0.175,0.546753,9
38,27,0,0.186,0.87,0.168,0.566528,9
38,27,3,0.186,0.87,0.168,0.577209,1
38,27,4,0.186,0.87,0.168,0.140228,2
38,27,6,0.186,0.87,0.168,0.060791,3
38,27,7,0.186,0.87,0.168,0.026825,6
38,27,9,0.186,0.87,0.168,0.20105,4
38,27,12,0.186,0.87,0.168,0.088043,7
38,27,19,0.186,0.87,0.168,0.199493,5
38,27,22,0.186,0.87,0.168,0.283997,8
38,27,24,0.186,0.87,0.168,0.964081,0
39,5,3,0.233,0.878,0.159,0.840057,8
40,16,5,0.217,0.889,0.162,0.580444,8
41,17,1,0.222,0.866,0.147,0.343292,8
41,17,12,0.222,0.866,0.147,0.858337,5
42,3,0,0.208,0.883,0.156,0.072937,8
43,19,2,0.208,0.866,0.186,0.450256,8
43,19,15,0.208,0.866,0.186,0.007385,5
44,18,1,0.229,0.874,0.148,0.507751,8
44,18,2,0.229,0.874,0.148,0.998718,5
45,23,5,0.212,0.857,0.18,0.440552,8
45,23,12,0.212,0.857,0.18,0.079346,5
45,23,18,0.212,0.857,0.18,0.587219,2
46,15,1,0.215,0.874,0.166,0.830597,8
46,15,3,0.215,0.874,0.166,0.862183,5
46,15,7,0.215,0.874,0.166,0.587463,2
46,15,9,0.215,0.874,0.166,0.796295,0
46,15,12,0.215,0.874,0.166,0.55249,3
47,10,2,0.204,0.889,0.168,0.943481,8
47,10,3,0.204,0.889,0.168,0.806946,5
47,10,4,0.204,0.889,0.168,0.812897,2
48,11,0,0.235,0.876,0.14,0.594299,8
48,11,3,0.235,0.876,0.14,0.371735,5
48,11,5,0.235,0.876,0.14,0.076691,2
48,11,6,0.235,0.876,0.14,0.470215,3
48,11,9,0.235,0.876,0.14,0.93866,6
48,11,10,0.235,0.876,0.14,0.792053,7
49,29,18,0.196,0.879,0.164,0.437836,5
