learnerID,sitesVisited,step,node,pr(rr),pr(fr),pr(sr),rr,fr,sr,ratingValue,nodeValue
3,10,5,0,0.215,0.875,0.15,0.141204834,0.825866699,0.079162598,1,0.432870926
3,10,5,1,0.215,0.875,0.15,0.141204834,0.825866699,0.079162598,1,0.325647261
3,10,5,2,0.215,0.875,0.15,0.141204834,0.825866699,0.079162598,1,0.305463376
3,10,5,3,0.215,0.875,0.15,0.141204834,0.825866699,0.079162598,1,0.29318414
3,10,5,4,0.215,0.875,0.15,0.141204834,0.825866699,0.079162598,1,0.427138323
3,10,5,5,0.215,0.875,0.15,0.141204834,0.825866699,0.079162598,1,0.334208588
3,10,5,6,0.215,0.875,0.15,0.141204834,0.825866699,0.079162598,1,0.322673325
3,10,5,7,0.215,0.875,0.15,0.141204834,0.825866699,0.079162598,1,0.322199541
3,10,5,8,0.215,0.875,0.15,0.141204834,0.825866699,0.079162598,1,0.361946912
3,10,5,9,0.215,0.875,0.15,0.141204834,0.825866699,0.079162598,1,0.343047751
6,19,10,0,0.22,0.863,0.181,0.137329102,0.149169922,0.116699219,2,0.466435463
6,19,10,1,0.22,0.863,0.181,0.137329102,0.149169922,0.116699219,2,0.412823631
6,19,10,2,0.22,0.863,0.181,0.137329102,0.149169922,0.116699219,2,0.402731688
6,19,10,3,0.22,0.863,0.181,0.137329102,0.149169922,0.116699219,2,0.39659207
6,19,10,4,0.22,0.863,0.181,0.137329102,0.149169922,0.116699219,2,0.463569162
6,19,10,5,0.22,0.863,0.181,0.137329102,0.149169922,0.116699219,2,0.417104294
6,19,10,6,0.22,0.863,0.181,0.137329102,0.149169922,0.116699219,2,0.411336663
6,19,10,7,0.22,0.863,0.181,0.137329102,0.149169922,0.116699219,2,0.41109977
6,19,10,8,0.22,0.863,0.181,0.137329102,0.149169922,0.116699219,2,0.430973456
6,19,10,9,0.22,0.863,0.181,0.137329102,0.149169922,0.116699219,2,0.421523876
8,10,9,0,0.223,0.887,0.165,0.013427734,0.374725342,0.078948975,3,0.693785562
8,10,9,1,0.223,0.887,0.165,0.013427734,0.374725342,0.078948975,3,0.499053843
8,10,9,2,0.223,0.887,0.165,0.013427734,0.374725342,0.078948975,3,0.481054138
8,10,9,3,0.223,0.887,0.165,0.013427734,0.374725342,0.078948975,3,0.490039445
8,10,9,4,0.223,0.887,0.165,0.013427734,0.374725342,0.078948975,3,0.684605778
8,10,9,5,0.223,0.887,0.165,0.013427734,0.374725342,0.078948975,3,0.607991836
8,10,9,6,0.223,0.887,0.165,0.013427734,0.374725342,0.078948975,3,0.599626311
8,10,9,7,0.223,0.887,0.165,0.013427734,0.374725342,0.078948975,3,0.621016985
8,10,9,8,0.223,0.887,0.165,0.013427734,0.374725342,0.078948975,3,0.668713462
8,10,9,9,0.223,0.887,0.165,0.013427734,0.374725342,0.078948975,3,0.581146217
9,13,6,0,0.199,0.871,0.156,0.051757813,0.555175781,0.12310791,2,0.596892781
9,13,6,1,0.199,0.871,0.156,0.051757813,0.555175781,0.12310791,2,0.499526921
9,13,6,2,0.199,0.871,0.156,0.051757813,0.555175781,0.12310791,2,0.490527069
9,13,6,3,0.199,0.871,0.156,0.051757813,0.555175781,0.12310791,2,0.495019722
9,13,6,4,0.199,0.871,0.156,0.051757813,0.555175781,0.12310791,2,0.592302889
9,13,6,5,0.199,0.871,0.156,0.051757813,0.555175781,0.12310791,2,0.553995918
9,13,6,6,0.199,0.871,0.156,0.051757813,0.555175781,0.12310791,2,0.549813155
9,13,6,7,0.199,0.871,0.156,0.051757813,0.555175781,0.12310791,2,0.560508493
9,13,6,8,0.199,0.871,0.156,0.051757813,0.555175781,0.12310791,2,0.584356731
9,13,6,9,0.199,0.871,0.156,0.051757813,0.555175781,0.12310791,2,0.540573108
17,16,10,0,0.22,0.885,0.159,0.062164307,0.810333252,0.144958496,4,0.786747777
17,16,10,1,0.22,0.885,0.159,0.062164307,0.810333252,0.144958496,4,0.740437886
17,16,10,2,0.22,0.885,0.159,0.062164307,0.810333252,0.144958496,4,0.738583397
17,16,10,3,0.22,0.885,0.159,0.062164307,0.810333252,0.144958496,4,0.710375369
17,16,10,4,0.22,0.885,0.159,0.062164307,0.810333252,0.144958496,4,0.786916046
17,16,10,5,0.22,0.885,0.159,0.062164307,0.810333252,0.144958496,4,0.635692839
17,16,10,6,0.22,0.885,0.159,0.062164307,0.810333252,0.144958496,4,0.770155426
17,16,10,7,0.22,0.885,0.159,0.062164307,0.810333252,0.144958496,4,0.760280698
17,16,10,8,0.22,0.885,0.159,0.062164307,0.810333252,0.144958496,4,0.708128908
17,16,10,9,0.22,0.885,0.159,0.062164307,0.810333252,0.144958496,4,0.743668213
18,10,7,0,0.213,0.871,0.173,0.037261963,0.722961426,0.011260986,2,0.643373889
18,10,7,1,0.213,0.871,0.173,0.037261963,0.722961426,0.011260986,2,0.620218943
18,10,7,2,0.213,0.871,0.173,0.037261963,0.722961426,0.011260986,2,0.619291699
18,10,7,3,0.213,0.871,0.173,0.037261963,0.722961426,0.011260986,2,0.605187685
18,10,7,4,0.213,0.871,0.173,0.037261963,0.722961426,0.011260986,2,0.643458023
18,10,7,5,0.213,0.871,0.173,0.037261963,0.722961426,0.011260986,2,0.56784642
18,10,7,6,0.213,0.871,0.173,0.037261963,0.722961426,0.011260986,2,0.635077713
18,10,7,7,0.213,0.871,0.173,0.037261963,0.722961426,0.011260986,2,0.630140349
18,10,7,8,0.213,0.871,0.173,0.037261963,0.722961426,0.011260986,2,0.604064454
18,10,7,9,0.213,0.871,0.173,0.037261963,0.722961426,0.011260986,2,0.621834107
25,15,5,0,0.222,0.878,0.162,0.152282715,0.076416016,0.124328613,1,0.547283601
